formula,atomic_volume,band_gap,outer_electron,diff_electroneg,spacegroup,band_gap.is_direct
SiO2,20.10481799,5.72,10,1.54,-1,0
ZnS,20.2534968,2.0003,16,0.93,3m,1
SiO2,18.6796409,5.5652,10,1.54,222,1
SiO2,19.75852264,5.6962,10,1.54,-1,0
Tl2S,32.51569474,0.7668,17,0.96,3,0
ZnS,20.23655563,1.962,16,0.93,3m,1
Bi2O3,19.26709909,2.2745,19,1.42,mmm,1
Pm2O3,15.576813,3.707,11,2.31,2/m,0
SiO2,20.3324132,5.6951,10,1.54,mmm,0
ZrO2,11.80293433,3.6907,8,2.11,mm2,0
SiO2,16.88891806,5.6055,10,1.54,2/m,1
ZnS,20.23745525,1.9927,16,0.93,3m,1
HgO,18.20523241,1.199,16,1.44,2/m,0
SiO2,13.22913666,5.6423,10,1.54,2/m,0
ZnS,20.24126412,2.0323,16,0.93,3m,1
SiO2,17.17664229,5.6105,10,1.54,1,0
ZnS,20.2561896,2.0305,16,0.93,3m,1
Nd2O3,16.02528401,3.6443,10,2.3,2/m,0
TeO2,15.67452149,2.8135,20,1.34,422,0
ZnS,20.23984748,1.6302,16,0.93,3m,1
ZnS,20.25732527,2.0239,16,0.93,3m,1
H2O,7.454270714,5.4777,7,1.24,2,0
SiO2,14.32099303,5.4995,10,1.54,222,1
ZnS,20.25630703,2.0281,16,0.93,3m,1
SiO2,20.62599672,5.5536,10,1.54,6/mmm,1
SiO2,16.49235295,5.4327,10,1.54,mm2,0
ZnS,20.25826466,2.0245,16,0.93,3m,1
ZnS,20.25484469,2.0266,16,0.93,3m,1
ZnS,20.25655449,2.0087,16,0.93,3m,1
SiO2,13.89553798,5.522,10,1.54,mmm,1
SiO2,14.95856186,5.6457,10,1.54,2/m,1
SiO2,14.75848205,5.6497,10,1.54,-42m,0
SiO2,17.67846913,5.5246,10,1.54,mmm,0
BiO2,14.90988905,1.0245,19,1.42,2/m,0
SiO2,18.79926349,5.671,10,1.54,mmm,1
RbS,38.43684814,1.7029,7,1.76,mmm,0
SiO2,19.55944922,5.6221,10,1.54,-3,0
H2O,7.446935289,5.5568,7,1.24,222,0
La10S19,23.62644254,0.7226,7,1.48,4/m,1
SiO2,19.00324914,5.587,10,1.54,mmm,0
Ho2O3,13.78227899,4.0609,17,2.21,2/m,0
SiO2,19.34992139,5.5128,10,1.54,2/m,0
SiO2,16.24335536,5.5665,10,1.54,m-3,0
Y2O3,14.15544097,3.9604,7,2.22,2/m,0
H2O,7.475596133,5.4556,7,1.24,222,0
SiO2,16.26228786,5.4411,10,1.54,622,0
WO3,14.46292164,1.2543,10,1.08,-42m,0
SiO2,17.75723813,5.3664,10,1.54,mmm,1
SiO2,13.93468493,5.6333,10,1.54,4/mmm,0
SiO2,19.86557639,5.6637,10,1.54,2/m,0
V9O17,10.58016993,0.4532,9,1.81,-1,0
SeO2,16.34620939,3.4283,20,0.89,mm2,0
SiO2,18.23701343,5.5993,10,1.54,-3,0
SnS,24.73766267,0.4176,18,0.62,mmm,0
SiO2,25.22230443,5.7101,10,1.54,6/mmm,1
SiO2,21.44911972,5.4895,10,1.54,6/mmm,1
SiO2,22.26723749,5.7315,10,1.54,2/m,0
SbO2,13.61340952,1.905,19,1.39,mmm,0
SiO2,19.47429776,5.6417,10,1.54,2/m,0
SiO2,12.67421146,5.4814,10,1.54,mmm,1
SiO2,18.98560137,5.3907,10,1.54,mmm,1
ZnS,20.25561347,2.0728,16,0.93,6mm,1
SiO2,18.78410667,5.632,10,1.54,2/m,0
Nd10S19,22.4982561,0.5022,10,1.44,4/m,1
SiO2,18.36482922,5.4481,10,1.54,mmm,0
SiO2,18.52105094,5.4244,10,1.54,mmm,0
SeO2,16.08503268,3.4204,20,0.89,mm2,0
SiO2,20.36763774,5.6108,10,1.54,mmm,1
SiO2,21.33457442,5.7712,10,1.54,mmm,0
SiO2,18.83862629,5.4387,10,1.54,mmm,1
SiO2,19.26786006,5.5774,10,1.54,mmm,0
TlS,30.19649145,0.8102,17,0.96,422,1
SiO2,19.65369059,5.5506,10,1.54,m-3m,1
SiO2,22.03654102,5.6131,10,1.54,mm2,0
ZnS,20.23183199,2.027,16,0.93,6mm,1
TeO2,15.73159675,2.8091,20,1.34,222,0
SiO2,18.48647997,5.4512,10,1.54,mmm,1
SO3,15.49853725,5.1417,12,0.86,2/m,0
SiO2,18.51683177,5.6052,10,1.54,2/m,0
P2O5,16.61786639,5.5339,11,1.25,3m,0
RbSb2,42.4253571,0.2906,14,1.23,2/m,0
PdCl2,29.11019227,0.9236,15,0.96,mmm,0
PdI2,41.50844409,0.878,23,0.46,mmm,0
P4Se3,33.77981412,2.1677,19,0.36,mmm,1
PCl5,28.48710053,1.6442,12,0.97,2/m,0
Si2Ru,14.21686228,0.4821,10,0.3,mmm,0
SrP3,22.48987812,0.3689,7,1.24,2/m,1
YbP5,20.89413667,0.2022,19,1.09,2,0
PdSe,20.66253703,0.1783,22,0.35,4/mmm,0
ReS2,20.57879777,1.319,11,0.68,-1,1
P4S9,32.13329628,2.7138,11,0.39,m-3,0
ZnS,20.23766008,1.8885,16,0.93,3m,1
ZnS,20.23023542,2.0194,16,0.93,3m,1
ZnS,20.22375492,1.9845,16,0.93,3m,1
SiO2,22.28601398,5.6773,10,1.54,422,1
SiO2,22.79413424,5.4721,10,1.54,4/mmm,0
Gd2S3,22.30852503,0.5159,14,1.38,mmm,1
PS,30.80054831,2.4818,11,0.39,2/m,0
Rh2O3,10.78343417,0.5692,13,1.16,mmm,0
SiO2,18.91551341,5.4702,10,1.54,2/m,0
PtO2,13.66406425,1.4875,14,1.16,-3m,0
WO3,14.35926038,1.3694,10,1.08,2/m,0
Rb2Se5,34.73700769,0.8371,15,1.73,222,0
V3O5,10.87431439,0.9519,9,1.81,2/m,0
V3O7,12.87501123,0.996,9,1.81,2/m,0
HgS,27.73333078,1.7039,16,0.58,32,0
SeO2,16.51608596,3.1373,20,0.89,mmm,0
SiO2,15.41049983,5.5713,10,1.54,m,1
SF6,13.57780797,5.9606,13,1.4,-1,0
ThO2,14.78627972,4.4404,8,2.14,m-3m,0
SiO2,19.57145162,5.6934,10,1.54,-42m,1
Gd10S19,20.94344338,0.3423,14,1.38,4/m,1
SiO2,19.79702617,5.7038,10,1.54,2/m,1
SiO2,18.00751974,5.696,10,1.54,2/m,0
SiO2,19.84039844,5.5171,10,1.54,mmm,0
SiO2,18.75389961,5.5367,10,1.54,2/m,1
SiO2,20.49820445,5.6294,10,1.54,mmm,1
SiO2,18.27032014,5.6387,10,1.54,mmm,0
SiO2,18.75292243,5.5781,10,1.54,mmm,0
SiO2,18.50433438,5.582,10,1.54,mmm,0
SiO2,18.49373227,5.5763,10,1.54,mmm,0
Gd2S3,22.27896124,0.5683,14,1.38,mmm,0
YbS2,21.819752,1.2803,20,1.48,2/m,0
ZnS,20.23474466,2.0167,16,0.93,3m,1
ZnS,20.23985836,2.021,16,0.93,3m,1
SiO2,17.08656957,5.6051,10,1.54,2/m,0
SiO2,31.09016564,5.5951,10,1.54,6/mmm,1
Rb4Pb9,43.58629572,0.3034,13,1.51,2/m,0
GdP5,20.62117484,0.2267,13,0.99,2/m,0
P4S5,30.77491588,2.4763,11,0.39,2,0
SiO2,14.02599758,5.5311,10,1.54,622,0
SiO2,13.42440196,5.7075,10,1.54,32,0
SiO2,15.29399745,5.5482,10,1.54,422,1
H2O,8.402009817,5.469,7,1.24,422,1
H2S,20.72080907,3.5201,7,0.38,4/mmm,0
SiO2,13.37063385,5.7211,10,1.54,32,0
SiO2,15.29032988,5.5088,10,1.54,422,1
H2O,9.934388868,5.5288,7,1.24,6mm,0
WO3,15.71560016,1.4333,10,1.08,6mm,1
V2O3,10.73924981,0.5626,9,1.81,2/m,1
H2S,16.62884534,4.0299,7,0.38,4,0
SeO2,16.45787225,3.2789,20,0.89,4/mmm,0
P4S5,29.47299559,2.5186,11,0.39,2/m,0
P2Pt,15.88198218,1.0645,13,0.09,m-3,0
SiO2,15.48082529,5.5867,10,1.54,1,0
RbSb,45.05556578,0.5411,14,1.23,222,1
Rb2S3,32.15278821,1.3215,7,1.76,mm2,0
Rb2Se3,35.85408507,0.6796,15,1.73,mm2,0
La2S3,25.16833763,1.0342,7,1.48,mmm,1
V2O5,18.75136467,2.4106,9,1.81,mmm,0
TiO2,14.95494296,2.9821,8,1.9,mmm,0
PtS2,23.12776353,1.4706,14,0.3,-3m,0
SiO2,16.14866991,5.3774,10,1.54,222,1
PtO2,13.63488704,1.5202,14,1.16,6mm,0
Rb2O2,23.29381099,1.7601,7,2.62,mmm,0
SrP,28.6518914,0.5053,7,1.24,-6m2,0
Rb2S,40.13349708,1.9684,7,1.76,m-3m,0
SiO2,15.81203987,5.5887,10,1.54,23,0
Ho2O3,14.93234023,3.9498,17,2.21,m-3,0
SiO2,17.30441123,5.365,10,1.54,m-3m,0
RbTe,41.71359118,0.8245,15,1.28,mmm,0
PF5,15.24692343,7.0881,12,1.79,6/mmm,1
SnO2,12.62233031,0.6475,18,1.48,4/mmm,1
SF6,15.34928136,5.7755,13,1.4,m-3m,1
SiO2,19.85841416,5.5299,10,1.54,6/mmm,0
SF6,14.48553677,5.8901,13,1.4,-3m,1
Ho2S3,23.65955505,1.4613,17,1.35,2/m,1
Dy2S3,21.60714443,0.7389,16,1.36,mmm,0
Ho2S3,21.3397548,0.6114,17,1.35,mmm,1
RbS,35.95142252,1.5903,7,1.76,-6m2,0
RbSe,40.77831418,0.9531,15,1.73,-6m2,0
RbTe,49.1780022,0.4793,15,1.28,-6m2,0
Er2S3,22.68294083,1.1634,18,1.34,2/m,1
Tb2S3,21.90828708,0.5791,15,1.48,mmm,1
TcS2,21.12137574,1.1449,11,0.68,-1,0
SiO2,15.51610611,5.5893,10,1.54,2,0
Tm2S3,20.79384802,0.6554,19,1.33,mmm,1
RuF4,13.52759946,0.5231,13,1.78,2/m,0
SF6,14.47929715,5.8786,13,1.4,2/m,0
WS2,20.93251605,1.6176,10,0.22,3m,0
DyP5,20.37794396,0.1203,15,0.97,2/m,0
HoP5,20.23159209,0.1321,16,0.96,2/m,0
TmP5,19.94176921,0.1508,18,0.94,2/m,0
LuP5,19.71509249,0.4183,20,0.92,2/m,0
YP5,20.45834033,0.1637,6,0.97,2/m,0
HfS2,25.23102772,1.2374,8,1.28,-3m,0
HfS3,22.39491735,1.1188,8,1.28,2/m,0
ZnS,20.25308429,2.0368,16,0.93,6mm,1
SnS2,26.3482089,1.4995,18,0.62,6mm,0
SiP2,23.61081807,1.4224,9,0.29,mmm,1
VI2,34.87439,1.0135,18,1.03,-3m,1
HgSe,29.82247944,1.0322,24,0.55,32,0
Te2W,27.54323032,1.0004,18,0.26,6/mmm,0
ThTe3,37.29267061,0.6282,16,0.8,2/m,0
Sm10S19,21.70156158,0.4965,12,1.41,4/m,0
PbS,27.18248414,0.5556,18,0.25,3m,1
ScF3,16.84969256,6.104,8,2.62,m-3m,0
ZnS,20.23783565,2.0186,16,0.93,-43m,1
ErSe2,25.43055391,0.2918,26,1.31,mmm,0
SiI3,52.92023633,2.9571,19,0.76,-3,1
ScF3,16.74790145,6.1017,8,2.62,-3m,1
PbS,27.57009284,1.5002,18,0.25,mmm,0
ThSe3,30.88441768,1.4997,16,1.25,2/m,0
Tl2Se3,29.49552417,0.8411,25,0.93,2/m,0
PbS,27.78962231,0.7497,18,0.25,mmm,0
SiS2,25.90110173,3.3912,10,0.68,2/m,0
BiSe2,29.27426004,0.8156,27,0.53,2/m,0
ErS2,19.72489074,0.4964,18,1.34,2/m,0
VCl5,28.36766687,1.0463,10,1.53,-1,0
SrF2,15.29971402,6.9849,9,3.03,mmm,1
LaS2,23.27462016,0.7074,7,1.48,2/m,0
ZrF4,12.57592185,5.3439,9,2.65,2/m,0
Tb2Te3,35.90873246,0.5508,23,1,mmm,0
Y2Se3,29.50050092,1.3523,15,1.33,mmm,1
Gd2Te3,31.24425071,0.108,22,0.9,mmm,1
Sr2Si,33.5603326,0.3467,6,0.95,mmm,1
Er2S3,21.13434956,0.6261,18,1.34,mmm,1
PtSe2,24.98210849,0.628,22,0.27,-3m,0
ThS2,22.55632072,1.0319,8,1.28,mmm,1
YH3,9.609786975,0.3399,2,0.98,6mm,1
SrH2,14.00987187,1.5194,3,1.25,mmm,0
ZrS2,25.99886983,1.0477,8,1.25,-3m,0
Tm2Te3,34.25608672,0.5752,27,0.85,mmm,1
Gd2Se3,25.53224838,0.4513,22,1.35,mmm,1
SiH8,10.90390682,7.0494,5,0.3,mm2,0
Dy2Te3,35.41293358,0.5471,24,0.88,mmm,1
Lu2Se3,27.55839275,1.3584,29,1.28,mmm,1
Ho2Te3,34.76433347,0.5259,25,0.87,mmm,1
Tm2Se3,28.20415186,1.3723,27,1.3,mmm,1
Lu2Te3,33.493012,0.5803,29,0.83,mmm,1
Y2Te3,35.44485464,0.5576,15,0.88,mmm,1
ZnSe,23.66882631,1.1693,24,0.9,-43m,1
Bi8Se9,31.20028745,0.2393,27,0.53,-3m,1
TcCl3,27.51876105,0.681,12,1.26,-3m,0
H2S,15.42477239,4.1915,7,0.38,mmm,1
YF3,11.92097178,7.4377,8,2.76,-3m,1
SiH2,17.96089727,4.0152,5,0.3,2/m,1
Tm2S3,23.07292496,1.4563,19,1.33,2/m,1
Lu2S3,24.18931757,2.4319,21,1.31,6mm,0
ZrF4,12.8371849,4.6213,9,2.65,2/m,0
Sc57Pt13,21.78373033,0.1028,9,0.92,m-3,1
Sm13Zn58,17.90564781,0.1531,16,0.48,6/mmm,1
TcF4,16.1595905,1.3038,12,2.08,mmm,0
Si7Tc4,13.75615273,1.065,9,0,-42m,0
Tc2Te5,29.96261185,0.526,19,0.2,mmm,0
PtS,17.58979123,0.1602,14,0.3,4/m,0
Sc2Se3,24.51250592,0.6528,15,1.19,mmm,1
Sb2Ir,22.82048043,0.453,20,0.15,2/m,0
NdS2,22.17190441,0.3371,10,1.44,2/m,0
Sm2S3,23.03486891,0.7441,12,1.41,mmm,1
Sn3F8,17.15016434,3.1504,19,2.02,2/m,0
Pr10Se19,26.16694356,0.3102,17,1.42,4/m,0
Nd10Se19,25.66436596,0.2844,18,1.41,4/m,0
Sm2Se3,26.2122064,0.3125,20,1.38,mmm,1
Sn2S3,25.43163909,0.7763,18,0.62,mmm,0
Pr2S3,24.44608863,0.7775,9,1.45,mmm,1
Tb2Se3,25.02858274,0.3404,23,1.45,mmm,1
HfSe3,25.88982691,0.3453,16,1.25,2/m,0
Si3Os2,14.26385508,0.8553,10,0.3,mmm,1
Si3Os2,14.28041588,0.7244,10,0.3,-42m,0
ZrSe3,26.16354093,0.4382,16,1.22,2/m,0
Sr2Sb3,33.91153317,0.1281,15,1.1,2/m,0
Si2Os,14.37987672,0.6658,10,0.3,mmm,0
PrS2,22.62699459,0.3347,9,1.45,mmm,0
Sr5Sb3,37.65606239,0.1158,15,1.1,mmm,0
YbTe,32.16577545,1.4688,28,1,m-3m,0
SiF4,17.49546968,7.7173,11,2.08,-43m,0
YbS,22.71082027,2.2234,20,1.48,m-3m,0
WSe2,24.07609824,1.4919,18,0.19,6/mmm,0
TlSe,30.4940048,0.2497,25,0.93,4/mmm,0
Tm2S3,24.682521,2.2738,19,1.33,m-3,1
ZnF2,12.24340784,3.48,17,2.33,4/mmm,1
TeF6,17.28423391,4.3688,21,1.88,mmm,1
SbF3,17.5270352,4.4381,20,1.93,mm2,0
SrTe,38.00334326,1.7736,16,1.15,m-3m,0
TePb,35.37919596,0.8674,26,0.23,m-3m,1
ZrSe2,27.94292368,0.3357,16,1.22,-3m,0
Si5Ir3,15.10257695,0.9339,11,0.3,2/m,0
Er2Se3,28.53888802,0.851,26,1.31,mmm,1
Sb2Se3,29.86705672,0.7672,27,0.5,mmm,0
SnSe,27.70143742,0.3197,26,0.59,mmm,0
ZnTe,29.57280169,1.029,24,0.45,-43m,1
PbSe,30.12685525,0.4728,26,0.22,m-3m,1
SnS,25.54703242,0.9478,18,0.62,mmm,0
Bi2S3,26.35830001,1.3813,19,0.56,mmm,0
ZrCl3,32.01264243,0.1588,9,1.83,6/mmm,0
SbCl3,36.02420408,3.7419,20,1.11,mmm,0
VCl2,23.4742519,1.2311,10,1.53,-3m,0
ZnCl2,28.20264247,4.04,17,1.51,mm2,1
ZnCl2,27.38431017,4.0499,17,1.51,-42m,1
ZrCl2,23.27325239,0.8614,9,1.83,3m,0
Bi2Se3,30.30484364,0.9706,27,0.53,mmm,1
SbCl5,39.05834176,1.8233,20,1.11,6/mmm,1
SrI2,43.42391015,3.8416,17,1.71,mmm,0
SnI4,59.58361815,2.0284,27,0.7,m-3,1
SrCl2,29.16576363,5.2286,9,2.21,m-3m,0
TiI3,40.81039227,0.1682,17,1.12,mmm,0
TeI,44.54099454,0.7943,29,0.56,-1,0
SbI3,48.58679942,2.1496,28,0.61,-3,0
ScCl3,29.40055064,3.8701,8,1.8,-3,0
SrH2,14.95415925,3.1308,3,1.25,mmm,0
SiH4,14.46509517,6.5621,5,0.3,2/m,1
SrH2,14.02641233,1.3337,3,1.25,6/mmm,0
Th2Se5,24.75614258,0.69,16,1.25,mmm,0
YF3,12.67627333,7.5338,8,2.76,mmm,0
SiOs,13.77309525,0.5177,10,0.3,23,0
SnSe,27.89228266,0.1142,26,0.59,m-3m,1
Sb2Os,22.05855294,0.3801,19,0.15,mmm,0
SnF4,14.46927183,3.1001,19,2.02,4/mmm,0
ZnI2,43.65769678,2.9076,25,1.01,4/mmm,1
Si3Cl8,34.75512741,4.7516,11,1.26,-43m,0
SnI2,41.49167718,1.7219,27,0.7,2/m,0
VF5,15.52510863,2.992,10,2.35,mmm,0
YCl3,35.25142128,4.9362,8,1.94,2/m,0
SrSe,31.31321246,2.231,16,1.6,m-3m,0
Te3Cl2,34.53304015,1.3332,21,1.06,2/m,0
Te2I,41.83188242,0.6558,29,0.56,mmm,1
Y2Cl3,27.49153785,0.7778,8,1.94,2/m,0
TcCl4,31.37979501,0.7829,12,1.26,mmm,0
AuSe,27.85865022,0.2674,23,0.01,2/m,0
Sb2F7,16.60898031,3.8096,20,1.93,2/m,0
SCl,35.24606659,2.8901,13,0.58,mm2,0
Sb4F15,16.50377313,3.6879,20,1.93,mm2,0
V2Se9,27.92871438,0.7208,17,0.92,2/m,0
Lu2S3,23.9011391,2.5673,21,1.31,-3m,0
Sb11F43,16.46716908,3.5093,20,1.93,2/m,0
SiCl4,36.44076184,5.5541,11,1.26,2/m,0
SnF2,19.33475774,3.2925,19,2.02,2/m,1
YbSe,25.87967578,1.9741,28,1.45,m-3m,0
TiF4,15.18556638,4.166,9,2.44,mmm,0
SiI3,51.98154981,2.8504,19,0.76,mmm,1
SeF4,17.23247691,4.1353,21,1.43,222,0
SnCl2,29.41019395,3.0512,19,1.2,2/m,0
Sb7F29,16.61106593,3.595,20,1.93,2/m,0
Tl2Te3,35.11269671,0.6319,25,0.48,2/m,0
SiH,18.91488561,2.1427,5,0.3,-3m,0
Sm10Se19,24.86878891,0.2589,20,1.38,4/m,0
SnCl4,41.53737907,3.551,19,1.2,2/m,0
TiCl4,40.47298533,3.4577,9,1.62,2/m,0
Si19Te8,21.77828875,0.8866,18,0.2,3m,0
Bi2Te3,35.60656733,0.5268,27,0.08,-3m,1
ZnSe,23.70110833,1.2004,24,0.9,6mm,1
Sc2S3,21.51851401,0.7843,7,1.22,mmm,0
SeCl,37.02300601,2.1674,21,0.61,2/m,0
BS2,26.65194094,2.5545,17,0.54,2/m,0
SeCl4,32.04528287,3.0391,21,0.61,2/m,0
TiI4,42.245569,1.0878,17,1.12,2/m,0
SiI2,49.30203444,2.2811,19,0.76,2/m,1
ZrI4,103.6179785,2.0534,17,1.33,-1,0
ReSe2,22.73528327,1.1315,19,0.65,-1,0
Bi2Se3,30.8213602,0.5434,27,0.53,-3m,1
ZnS,20.24596805,2.0265,16,0.93,3m,1
ZnS,20.25115815,2.0147,16,0.93,3m,1
ZnS,20.23799529,2.0175,16,0.93,3m,1
VF4,14.27700434,2.2417,10,2.35,2/m,0
ZnS,20.21261167,2.0385,16,0.93,3m,1
ZnS,20.24968019,2.0097,16,0.93,3m,1
PrS2,22.65306623,0.3681,9,1.45,2/m,0
ZnS,20.19155073,1.5973,16,0.93,3m,1
ZnS,20.24727773,2.025,16,0.93,3m,1
ZnS,20.24515797,2.0165,16,0.93,3m,1
ZnS,20.25256298,1.9961,16,0.93,3m,1
ZnS,20.2546963,2.0467,16,0.93,3m,1
ZnS,20.25558112,2.0251,16,0.93,3m,1
ZnS,20.23382103,2.0379,16,0.93,3m,1
ZnS,20.25243863,2.0157,16,0.93,3m,1
ZnS,20.25552259,2.029,16,0.93,3m,1
ZnS,20.23449361,2.0362,16,0.93,3m,1
ZnS,20.25659048,1.9438,16,0.93,3m,1
SbF4,16.64584831,3.4408,20,1.93,2/m,0
ZnS,20.24034847,1.1961,16,0.93,3m,1
ZnS,20.25242605,2.0181,16,0.93,3m,1
ZnS,20.24021673,2.0399,16,0.93,3m,1
ZnS,20.2395661,2.0418,16,0.93,3m,1
ZnS,20.25731319,2.0314,16,0.93,3m,1
ZnS,20.25630052,2.0109,16,0.93,3m,1
ScF3,16.83902658,6.0487,8,2.62,32,0
VF3,13.85767413,1.5498,10,2.35,-3m,1
ZnS,20.25459684,2.0215,16,0.93,6mm,1
ZnS,20.24518982,2.0338,16,0.93,6mm,1
ZnS,20.25230686,2.0288,16,0.93,6mm,1
ZnS,20.24907854,2.0218,16,0.93,6mm,1
Pr10S19,22.98809531,0.5107,9,1.45,4/m,1
ZrF4,12.69799262,4.8934,9,2.65,4/m,1
TeF4,17.05750535,4.0193,21,1.88,222,0
TeI4,49.93465121,1.8301,29,0.56,mm2,0
ZnCl2,27.45336604,3.8763,17,1.51,4/mmm,1
TeI4,48.97005694,1.7864,29,0.56,4/mmm,0
SiSe2,35.64316054,2.1632,18,0.65,mmm,0
SrI2,44.54187952,3.8014,17,1.71,mmm,1
SiB3,10.25453227,1.4083,15,0.14,mmm,0
SnCl2,29.35471476,3.0724,19,1.2,mmm,0
ZrCl4,31.49689165,3.6106,9,1.83,2/m,0
SbI3,48.50951422,2.1951,28,0.61,2/m,0
TeCl4,35.70795038,3.1084,21,1.06,2/m,0
TeI,42.92846404,0.7224,29,0.56,2/m,0
ZrI2,35.66150771,0.2939,17,1.33,mm2,0
LaSe2,26.38145309,0.2785,15,1.45,2/m,0
Zn13Sb10,24.18803845,0.4715,23,0.4,-1,0
SbCl5,34.6935386,1.7221,20,1.11,2/m,1
TeI4,49.00250483,1.7639,29,0.56,mmm,1
ZnTe,29.54273859,1.069,24,0.45,3,1
ZrI4,47.73271119,2.0148,17,1.33,2/m,0
ZrI2,35.43117343,0.2751,17,1.33,2/m,0
SnI4,59.78779173,1.5624,27,0.7,-43m,0
YI3,48.59633614,3.0409,16,1.44,-3,0
Pr13Zn58,18.59495231,0.1563,13,0.52,6/mmm,1
ZnCl2,27.94305074,4.0185,17,1.51,2/m,1
B2S3,23.65929258,2.4329,17,0.54,2/m,0
Tl2Te,35.76516413,0.6483,25,0.48,2/m,1
Re2Te5,31.16868536,0.6053,19,0.2,mmm,1
ZrTe5,37.06522715,0.1192,16,0.77,mmm,0
SiI4,55.19489871,2.8561,19,0.76,m-3,1
ZnS,20.260609,1.9999,16,0.93,3m,1
TeI4,47.62526262,1.708,29,0.56,2/m,0
SnSe2,29.90300434,0.703,26,0.59,-3m,0
SeCl4,30.39241465,2.855,21,0.61,-43m,1
Tl2Te3,36.92263308,0.4849,25,0.48,m,0
SnSe,28.13143687,0.5616,26,0.59,mmm,0
H2S,15.86123539,4.329,7,0.38,mmm,0
Dy2Se3,24.73675226,0.3633,24,1.33,mmm,1
SnF2,19.30653232,3.2629,19,2.02,222,0
SnF2,19.35736583,3.2522,19,2.02,422,0
ZnF2,12.04411001,3.5618,17,2.33,mmm,0
ThSe2,25.84200573,0.6305,16,1.25,mmm,1
SnF3,21.30234587,2.7786,19,2.02,m-3m,0
SnS,48.67760045,1.4747,18,0.62,mm2,1
La10Se19,26.82154008,0.5697,15,1.45,4/m,0
ZnTe,29.62200708,1.1007,24,0.45,6mm,1
SnSe,56.4230313,0.8549,26,0.59,4/mmm,1
HgS,27.61428844,1.6835,16,0.58,32,0
Au2S,25.48056354,1.9021,15,0.04,m-3m,1
BiS2,25.10266587,1.0487,19,0.56,2/m,0
SiH8,13.15639984,6.9799,5,0.3,-42m,0
Sr2Sn,38.62735452,0.1558,14,1.01,mmm,1
SrF2,16.81985605,6.7528,9,3.03,m-3m,0
Ho2Se3,28.92932559,0.8479,25,1.32,mmm,1
HfSe2,28.48053442,0.5594,16,1.25,-3m,0
TiS3,20.33561976,0.2318,8,1.04,2/m,0
ZrS3,23.03685644,1.0991,8,1.25,2/m,0
